ident;iso_country;iata_code
SKCI;CO;CCO
SCIE;CL;CCP
KCCR;US;CCR
SVMI;VE;CCS
VECC;IN;CCU
NVSF;VU;CCV
YCWL;AU;CCW
SWKC;BR;CCX
KCCY;US;CCY
MYBC;BS;CCZ
YCOO;AU;CDA
PACD;US;CDB
KCDC;US;CDC
MHCU;HN;CDD
ZBCD;CN;CDE
LFPG;FR;CDG
KCDH;US;CDH
SNKI;BR;CDI
SBAA;BR;CDJ
AK75;US;CDL
KCDN;US;CDN
FACD;ZA;CDO
VOCP;IN;CDP
YCRY;AU;CDQ
KCDR;US;CDR
KCDS;US;CDS
LEDS;ES;CDT
LECH;ES;CDT
YSCN;AU;CDU
PACV;US;CDV
KCDW;US;CDW
RPMU;PH;CDY
KCEA;US;CEA
RPVM;PH;CEB
KCEC;US;CEC
YCDU;AU;CED
ULBC;RU;CEE
KCEF;US;CEF
EGNR;GB;CEG
FWCD;MW;CEH
VTCT;TH;CEI
USCC;RU;CEK
PACE;US;CEM
MMCN;MX;CEN
FNWK;AO;CEO
SLCP;BO;CEP
LFMD;FR;CEQ
LFRC;FR;CER
YCNK;AU;CES
LFOU;FR;CET
KCEU;US;CEU
KCEV;US;CEV
KCEW;US;CEW
AK13;US;CEX
KCEY;US;CEY
KCEZ;US;CEZ
SBCB;BR;CFB
SBCD;BR;CFC
KCFD;US;CFD
LFLC;FR;CFE
FNCF;AO;CFF
MUCF;CU;CFG
YCFH;AU;CFH
YCFD;AU;CFI
DAOI;DZ;CFK
CET2;CA;CFM
EIDL;IE;CFN
SJHG;BR;CFO
YCPN;AU;CFP
CAJ3;CA;CFQ
LFRK;FR;CFR
YSCH;AU;CFS
KCFT;US;CFT
LGKR;GR;CFU
KCFV;US;CFV
CGA;US;CGA
SBCY;BR;CGB
CGC;PG;CGC
ZGCD;CN;CGD
KCGE;US;CGE
KCGF;US;CGF
CGG;PH;CGG
SBSP;BR;CGH
KCGI;US;CGI
FLKE;ZM;CGJ
WIII;ID;CGK
RPMH;PH;CGM
EDDK;DE;CGN
ZHCC;CN;CGO
VGEG;BD;CGP
ZYCC;CN;CGQ
SBCG;BR;CGR
KCGS;US;CGS
CGT;MR;CGT
YCAG;AU;CGV
PH-0001;PH;CGY
KCGZ;US;CGZ
KCHA;US;CHA
OPCL;PK;CHB
NZCH;NZ;CHC
RKPE;KR;CHF
ZYCY;CN;CHG
SPPY;PE;CHH
FVCH;ZW;CHJ
KCHK;US;CHK
KLLJ;US;CHL
SPEO;PE;CHM
RKJU;KR;CHN
KCHO;US;CHO
CHP;US;CHP
LGSA;GR;CHQ
LFLX;FR;CHR
KCHS;US;CHS
NZCI;NZ;CHT
9A3;US;CHU
LPCH;PT;CHV
MPCH;PA;CHX
AGGC;SB;CHY
K2S7;US;CHZ
LIRA;IT;CIA
KCIC;US;CIC
KCID;US;CID
YCOI;AU;CIE
ZBCF;CN;CIF
KCAG;US;CIG
ZBCZ;CN;CIH
LTBD;TR;CII
SLCO;BO;CIJ
PACI;US;CIK
K29;US;CIL
SKCM;CO;CIM
KCIN;US;CIN
SGCO;PY;CIO
FLCP;ZM;CIP
GT-0001;GT;CIQ
KCIR;US;CIR
PCIS;KI;CIS
UAII;KZ;CIT
KCIU;US;CIU
CIV;US;CIV
TVSC;VC;CIW
SPHI;PE;CIX
LICB;IT;CIY
SWKO;BR;CIZ
SPJR;PE;CJA
VOCB;IN;CJB
SCCF;CL;CJC
YCWA;AU;CJF
CAG3;CA;CJH
RKTU;KR;CJJ
OPCH;PK;CJL
VTSE;TH;CJM
WI1A;ID;CJN
MMCS;MX;CJS
MMCO;MX;CJT
RKPC;KR;CJU
KCKA;US;CKA
KCKB;US;CKB
UKKE;UA;CKC
CJX;US;CKD
K1O2;US;CKE
ZUCK;CN;CKG
UESO;RU;CKH
YCKI;AU;CKI
KCVK;US;CKK
UUMU;RU;CKL
KCKM;US;CKM
KCKN;US;CKN
SSCP;BR;CKO
CKR;US;CKR
SBCJ;BR;CKS
OIMC;IR;CKT
CKU;US;CKU
KCKV;US;CKV
YCHK;AU;CKW
CKX;US;CKX
GUCY;GN;CKY
LTBH;TR;CKZ
VGCM;BD;CLA
KCRQ;US;CLD
KCLE;US;CLE
KC80;US;CLG
YCAH;AU;CLH
KCLI;US;CLI
LRCL;RO;CLJ
KCLK;US;CLK
KCLL;US;CLL
KCLM;US;CLM
SBCI;BR;CLN
SKCL;CO;CLO
PFCL;US;CLP
MMIA;MX;CLQ
KCLR;US;CLR
KCLS;US;CLS
KCLT;US;CLT
KBAK;US;CLU
SBCN;BR;CLV
KCLW;US;CLW
SATC;AR;CLX
LFKC;FR;CLY
SVCL;VE;CLZ
YCMU;AU;CMA
VCBI;LK;CMB
SNWC;BR;CMC
YCTM;AU;CMD
MMCE;MX;CME
LFLB;FR;CMF
SBCR;BR;CMG
KCMH;US;CMH
KCMI;US;CMI
TW-CMJ;TW;CMJ
FWCM;MW;CMK
YCMW;AU;CML
MGCR;GT;CMM
GMMN;MA;CMN
HCMO;SO;CMO
SNKE;BR;CMP
YCMT;AU;CMQ
LFGA;FR;CMR
HCMS;SO;CMS
CMT;BR;CMT
AYCH;PG;CMU
NZCX;NZ;CMV
MUCM;CU;CMW
KCMX;US;CMX
KCMY;US;CMY
CMZ;MZ;CMZ
MMCA;MX;CNA
YCNM;AU;CNB
YCCT;AU;CNC
LRCK;RO;CND
K1V6;US;CNE
SBCF;BR;CNF
LFBG;FR;CNG
KCNH;US;CNH
ZYCH;CN;CNI
YCCY;AU;CNJ
KCNK;US;CNK
EKSN;DK;CNL
KCNM;US;CNM
VOKN;IN;CNN
KCNO;US;CNO
BGCO;GL;CNP
SARC;AR;CNQ
SCRA;CL;CNR
YBCS;AU;CNS
AR-0009;AR;CNT
KCNU;US;CNU
SNED;BR;CNV
KCNW;US;CNW
VTCC;TH;CNX
KCNY;US;CNY
AO-CNZ;AO;CNZ
KO22;US;COA
AU-COB;AU;COB
SAAC;AR;COC
KCOD;US;COD
KCOE;US;COE
KCOF;US;COF
SKCD;CO;COG
VECO;IN;COH
KCOI;US;COI
YCBB;AU;COJ
VOCI;IN;COK
EGEL;GB;COL
KCOM;US;COM
KCON;US;CON
DBBB;BJ;COO
K23;US;COP
ZMCD;MN;COQ
SACO;AR;COR
KCOS;US;COS
KCOT;US;COT
KCOU;US;COU
SCCQ;CL;COW
MYAK;BS;COX
YCWY;AU;COY
MDCZ;DO;COZ
GLCP;LR;CPA
SKCA;CO;CPB
SAZY;AR;CPC
YCBP;AU;CPD
MMCP;MX;CPE
WARC;ID;CPF
AR-0390;AR;CPG
EKCH;DK;CPH
CPI;PG;CPI
SKHA;CO;CPL
KCPM;US;CPM
PG-0005;PG;CPN
SCAT;CL;CPO
SCKP;CL;CPP
SDAM;BR;CPQ
KCPR;US;CPR
KCPS;US;CPS
FACT;ZA;CPT
SNCU;BR;CPU
SBKG;BR;CPV
TJCP;PR;CPX
SWEK;BR;CQA
OIFS;IR;CQD
LFAC;FR;CQF
YCFL;AU;CQP
SWCQ;BR;CQS
SK-277;CO;CQT
LRCV;RO;CRA
YCBR;AU;CRB
SKGO;CO;CRC
SAVC;AR;CRD
KCRE;US;CRE
FEFC;CF;CRF
KCRG;US;CRG
YCHB;AU;CRH
MYCI;BS;CRI
AU-CRJ;AU;CRJ
RPLC;PH;CRK
EBCI;BE;CRL
RPVF;PH;CRM
KCRO;US;CRO
KCRP;US;CRP
SBCV;BR;CRQ
SANW;AR;CRR
KCRS;US;CRS
KCRT;US;CRT
TGPZ;GD;CRU
LIBC;IT;CRV
KCRW;US;CRW
KCRX;US;CRX
AU-CRY;AU;CRY
UTAV;TM;CRZ
EGEY;GB;CSA
LRCS;RO;CSB
MRMJ;CR;CSC
AU-CSD;AU;CSD
0CO2;US;CSE
LFPC;FR;CSF
KCSG;US;CSG
ULAS;RU;CSH
YCAS;AU;CSI
GOGS;SN;CSK
KCSM;US;CSM
KCXP;US;CSN
EDBC;DE;CSO
KCSQ;US;CSQ
SK-511;CO;CSR
SSCL;BR;CSS
NFCS;FJ;CST
SSSC;BR;CSU
KCSV;US;CSV
ZGHA;CN;CSX
UWKS;RU;CSY
SAZC;AR;CSZ
LICC;IT;CTA
KCTB;US;CTB
SANC;AR;CTC
MPCE;PA;CTD
PA-0004;PA;CTE
MGCT;GT;CTF
SKCG;CO;CTG
KMQS;US;CTH
FNCV;AO;CTI
K7G9;US;CTK
YBCV;AU;CTL
MMCM;MX;CTM
YCKN;AU;CTN
K3C8;US;CTO
SNCP;BR;CTP
SSVP;BR;CTQ
YCAC;AU;CTR
RJCC;JP;CTS
LFMQ;FR;CTT
ZUUU;CN;CTU
KN03;US;CTX
KCTY;US;CTY
KCTZ;US;CTZ
MMDA;MX;CUA
KCUB;US;CUB
SKCC;CO;CUC
YCDR;AU;CUD
SECU;EC;CUE
LIMZ;IT;CUF
YCUA;AU;CUG
KCUH;US;CUH
SK-059;CO;CUI
CUJ;PH;CUJ
BZ-CUK;BZ;CUK
MMCL;MX;CUL
SVCU;VE;CUM
MMUN;MX;CUN
SKCR;CO;CUO
SVCP;VE;CUP
YCOE;AU;CUQ
TNCC;CW;CUR
SAZW;AR;CUT
MMCU;MX;CUU
SVCG;VE;CUV
YCUE;AU;CUY
SPZO;PE;CUZ
PG-CVB;PG;CVB
YCEE;AU;CVC
SKCV;CO;CVE
LFLJ;FR;CVF
KCVG;US;CVG
SAHE;AR;CVH
AR-0007;AR;CVI
MMCB;MX;CVJ
CVL;PG;CVL
MMCV;MX;CVM
KCVN;US;CVN
KCVO;US;CVO
YCAR;AU;CVQ
KCVS;US;CVS
EGBE;GB;CVT
LPCR;PT;CVU
KCWA;US;CWA
SBCT;BR;CWB
UKLN;UA;CWC
HECW;EG;CWE
KCWF;US;CWF
KCWI;US;CWI
ZPCW;CN;CWJ
EGFF;GB;CWL
PK-CWP;PK;CWP
YCWI;AU;CWR
78WA;US;CWS
YCWR;AU;CWT
YCOR;AU;CWW
KP33;US;CWX
SVCD;VE;CXA
VGCB;BD;CXB
CXC;US;CXC
PACX;US;CXF
CYHC;CA;CXH
PLCH;KI;CXI
SBCX;BR;CXJ
KCXL;US;CXL
FNCX;AO;CXM
HCMC;SO;CXN
KCXO;US;CXO
WIHL;ID;CXP
YCRK;AU;CXQ
VVCR;VN;CXR
YCHT;AU;CXT
MYCC;BS;CXY
MTCA;HT;CYA
MWCB;KY;CYB
BZ-CYC;BZ;CYC
MZMF;BZ;CYD
PACK;US;CYF
YCRG;AU;CYG
RCKU;TW;CYI
MHCS;HN;CYL
CYM;US;CYM
MUCL;CU;CYO
RPVC;PH;CYP
SUCA;UY;CYR
KCYS;US;CYS
PACY;US;CYT
RPLO;PH;CYU
MMCY;MX;CYW
UESS;RU;CYX
RPUY;PH;CYZ
MMCT;MX;CZA
SSAK;BR;CZB
Z93;US;CZC
SVCR;VE;CZE
PACZ;US;CZF
BZ-CZH;BZ;CZH
CZJ;PA;CZJ
CZK;US;CZK
DABC;DZ;CZL
MMCZ;MX;CZM
CZN;US;CZN
CZO;US;CZO
Z71;US;CZP
SBCZ;BR;CZS
KCZT;US;CZT
SKCZ;CO;CZU
EPCH;PL;CZW
ZSCG;CN;CZX
YUNY;AU;CZY
KDAA;US;DAA
KDAB;US;DAB
VGZR;BD;DAC
VVDN;VN;DAD
DAF;PG;DAF
KDAG;US;DAG
HEDK;EG;DAK
KDAL;US;DAL
OSDI;SY;DAM
KDAN;US;DAN
DAO;PG;DAO
VNDL;NP;DAP
HTDA;TZ;DAR
CFF4;CA;DAS
ZBDT;CN;DAT
AYDU;PG;DAU
MPDA;PA;DAV
ZUDX;CN;DAX
KDAY;US;DAY
OADZ;AF;DAZ
OPDB;PK;DBA
HEAL;EG;DBB
DBC;CN;DBC
VEDB;IN;DBD
DBK;LK;DBK
HADM;ET;DBM
KDBN;US;DBN
YSDU;AU;DBO
DBP;PG;DBP
KDBQ;US;DBQ
U41;US;DBS
HADT;ET;DBT
DBU;LK;DBU
LDDU;HR;DBV
YDAY;AU;DBY
KDCA;US;DCA
TDCF;DM;DCF
DCG;AE;DCG
LIED;IT;DCI
DCK;US;DCK
LFCK;FR;DCM
YCIN;AU;DCN
MYRD;BS;DCT
KDCU;US;DCU
ZUDC;CN;DCY
KDDC;US;DDC
VRMU;MV;DDD
CN-0189;CN;DDG
DDM;PG;DDM
YDLT;AU;DDN
OPDD;PK;DDU
OP17;PK;DDU
OPDG;PK;DEA
LHDC;HU;DEB
KDEC;US;DEC
VIDN;IN;DED
UHSM;RU;DEE
OIAD;IR;DEF
KDEH;US;DEH
FSSD;SC;DEI
VIDP;IN;DEL
HADD;ET;DEM
KDEN;US;DEN
VEDZ;IN;DEP
DER;PG;DER
FSDR;SC;DES
KDET;US;DET
DEX;ID;DEX
OSDZ;SY;DEZ
KDFI;US;DFI
YDDF;AU;DFP
KDFW;US;DFW
BZ-DGA;BZ;DGA
YDGA;AU;DGD
YMDG;AU;DGE
CAL3;CA;DGF
KDGL;US;DGL
DGM;LK;DGM
KNDY;US;DGN
MMDO;MX;DGO
EVDA;LV;DGP
NZDA;NZ;DGR
RPVD;PH;DGT
DFOD;BF;DGU
KDGW;US;DGW
OEDR;SA;DHA
DHB;US;DHB
YDRH;AU;DHD
OMAM;AE;DHF
DHG;RU;DHG
VNDH;NP;DHI
VIGG;IN;DHM
KDHN;US;DHN
EHKD;NL;DHR
KDHT;US;DHT
OTBD;QA;DIA
VEMN;IN;DIB
FMNA;MG;DIE
ZPDQ;CN;DIG
LFSD;FR;DIJ
KDIK;US;DIK
WPDL;TL;DIL
DIDK;CI;DIM
VVDB;VN;DIN
DFED;BF;DIP
SNDV;BR;DIQ
HADR;ET;DIR
FCPL;CG;DIS
VA1P;IN;DIU
DIW;LK;DIW
LTCC;TR;DIY
DBBD;BJ;DJA
WIPA;ID;DJB
DTTJ;TN;DJE
DAAJ;DZ;DJG
AE-0006;AE;DJH
WAJJ;ID;DJJ
FCBD;CG;DJM
D66;US;DJN
DIDL;CI;DJO
YDAJ;AU;DJR
BIDV;IS;DJU
DN57;NG;DKA
YDKI;AU;DKI
KDKK;US;DKK
GOOY;SN;DKR
UODD;RU;DKS
YDVR;AU;DKV
FKKD;CM;DLA
ZYTL;CN;DLC
ENDI;NO;DLD
LFGJ;FR;DLE
KDLF;US;DLF
PADL;US;DLG
KDLH;US;DLH
VVDL;VN;DLI
YDLK;AU;DLK
KDLC;US;DLL
LTBS;TR;DLM
KDLN;US;DLN
RU-0493;RU;DLR
DLR;RU;DLR
KDLS;US;DLS
ZPDL;CN;DLU
YDLV;AU;DLV
NVVD;VU;DLY
ZMDZ;MN;DLZ
KDMA;US;DMA
UADD;KZ;DMB
YDMG;AU;DMD
UUDD;RU;DME
VTBD;TH;DMK
OEDF;SA;DMM
KDMN;US;DMN
KDMO;US;DMO
SWDM;BR;DMT
VEMR;IN;DMU
RODN;JP;DNA
YDBR;AU;DNB
EGPN;GB;DND
LY-DNF;LY;DNF
YDGN;AU;DNG
ZLDH;CN;DNH
HSWD;SD;DNI
UKDD;UA;DNK
KDNL;US;DNL
KDNN;US;DNN
SWDN;BR;DNO
VNDG;NP;DNP
YDLQ;AU;DNQ
LFRD;FR;DNR
KDNS;US;DNS
AYDN;PG;DNU
KDNV;US;DNV
HSGG;SD;DNX
LTAY;TR;DNZ
MG-DOA;MG;DOA
WAPD;ID;DOB
GB-DOC;GB;DOC
HTDO;TZ;DOD
GY-DOE;SR;DOE
HSDN;SD;DOG
QA-0001;QA;DOH
AYDO;PG;DOI
LFRG;FR;DOL
TDPD;DM;DOM
GT-0002;GT;DON
DOO;PG;DOO
VNDP;NP;DOP
DFEE;BF;DOR
SSDO;BR;DOU
KDOV;US;DOV
YDRA;AU;DOX
CN-0091;CN;DOY
KDPA;US;DPA
SCBI;CL;DPB
LFAB;FR;DPE
KDPG;US;DPG
RPMG;PH;DPL
YDPO;AU;DPO
WADD;ID;DPS
DPT;RU;DPT
DQA;CN;DQA
PALP;US;DQH
OM-0003;OM;DQM
KDRA;US;DRA
YDBY;AU;DRB
AO-DRC;AO;DRC
YDOR;AU;DRD
KDRM;US;DRE
3AK5;US;DRF
PADE;US;DRG
ID-DRH;ID;DRH
KDRI;US;DRI
SMDA;SR;DRJ
MRDK;CR;DRK
YDBI;AU;DRN
KDRO;US;DRO
YDRI;AU;DRR
EDDC;DE;DRS
KDRT;US;DRT
M26;US;DRU
VRMD;MV;DRV
YPDN;AU;DRW
YDRD;AU;DRY
EGCN;GB;DSA
FKKS;CM;DSC
TFFA;GP;DSD
HADC;ET;DSE
DSG;PH;DSG
KDTS;US;DSI
OPDI;PK;DSK
KDSM;US;DSM
ZBDS;CN;DSN
ZKSD;KP;DSO
GOBD;SN;DSS
KDSV;US;DSV
TW-0002;TW;DSX
KDTA;US;DTA
WIMN;ID;DTB
WALJ;ID;DTD
RPUD;PH;DTE
KL06;US;DTH
SNDT;BR;DTI
KDTL;US;DTL
EDLW;DE;DTM
KDTN;US;DTN
WN07;US;DTR
ZYDU;CN;DTU
KDTW;US;DTW
KDUA;US;DUA
EIDW;IE;DUB
KDUC;US;DUC
NZDN;NZ;DUD
FNDU;AO;DUE
7NC2;US;DUF
KDUG;US;DUG
KDUJ;US;DUJ
FADK;ZA;DUK
WIBD;ID;DUM
CAM3;CA;DUQ
FALE;ZA;DUR
EDDL;DE;DUS
PADU;US;DUT
DVD;MG;DVD
CDK2;CA;DVK
KDVL;US;DVL
KDVN;US;DVN
RPMD;PH;DVO
YDPD;AU;DVP
YDMN;AU;DVR
KDVT;US;DVT
FWDW;MW;DWA
FMNO;MG;DWB
OMDW;AE;DWC
OEDM;SA;DWD
KDWH;US;DWH
DWO;LK;DWO
DWR;AF;DWR
OMDB;AE;DXB
YDIX;AU;DXD
KMBO;US;DXE
KDXR;US;DXR
YDYS;AU;DYA
ZGDY;CN;DYG
KDYL;US;DYL
AU-DYM;AU;DYM
UHMA;RU;DYR
KDYS;US;DYS
UTDD;TJ;DYU
YDLW;AU;DYW
FMCZ;YT;DZA
SK-154;CO;DZI
SK-174;CO;DZI
UAKD;KZ;DZN
SUDU;UY;DZO
CN-0034;CN;DZU
PAEG;US;EAA
OYAB;YE;EAB
NVSE;VU;EAE
EAL;MH;EAL
OENG;SA;EAM
KEAN;US;EAN
KEAR;US;EAR
LESO;ES;EAS
KEAT;US;EAT
KEAU;US;EAU
LIRJ;IT;EBA
HUEN;UG;EBB
HSOB;SD;EBD
SKEB;CO;EBG
DAOY;DZ;EBH
EKEB;DK;EBJ
ORER;IQ;EBL
DTTR;TN;EBM
MH-EBN;MH;EBN
EBO;MH;EBO
KEBS;US;EBS
LFMH;FR;EBU
FKKW;CM;EBW
K6D9;US;ECA
KECG;US;ECG
YECH;AU;ECH
MNCE;NI;ECI
LCEN;CY;ECN
SK-002;CO;ECO
KECP;US;ECP
SK-360;CO;ECR
KECS;US;ECS
LECU;ES;ECV
EDA;US;EDA
HSDB;SD;EDB
YERL;AU;EDD
KEDE;US;EDE
PAED;US;EDF
EGPH;GB;EDI
KEQA;US;EDK
HKEL;KE;EDL
LFRI;FR;EDM
UHWE;RU;EDN
LTFD;TR;EDO
HN-MUG;HN;EDQ
YPMP;AU;EDR
KEDW;US;EDW
KEED;US;EED
PAEE;US;EEK
KEEN;US;EEN
KEFD;US;EFD
EFG;PG;EFG
KEFK;US;EFK
LGKF;GR;EFL
KEFW;US;EFW
AYEN;PG;EGA
LFBE;FR;EGC
KEGE;US;EGE
HEGR;EG;EGH
KEGI;US;EGI
HANG;ET;EGL
AGGS;SB;EGM
HSGN;SD;EGN
UUOB;RU;EGO
K5T9;US;EGP
BIEG;IS;EGS
KEGV;US;EGV
PAII;US;EGX
SAVB;AR;EHL
PAEH;US;EHM
EDGE;DE;EIB
UNII;RU;EIE
YEIN;AU;EIH
URKE;RU;EIK
PAEI;US;EIL
EHEH;NL;EIN
TUPJ;VG;EIS
LLEY;IL;EIY
SKEJ;CO;EJA
OEWJ;SA;EJH
EJN;CN;EJN
EJT;MH;EJT
KEKA;US;EKA
UASB;KZ;EKB
YELK;AU;EKD
KEKM;US;EKI
KEKN;US;EKN
KEKO;US;EKO
UHSK;RU;EKS
ESSU;SE;EKT
KEKX;US;EKX
KELA;US;ELA
SKBC;CO;ELB
YELD;AU;ELC
KELD;US;ELD
PA-ELE;PA;ELE
HSFS;SD;ELF
DAUE;DZ;ELG
MYEH;BS;ELH
PFEL;US;ELI
SK-284;CO;ELJ
KELK;US;ELK
FAER;ZA;ELL
KELM;US;ELM
KELN;US;ELN
SATD;AR;ELO
KELP;US;ELP
OEGS;SA;ELQ
ID-ELR;ID;ELR
FAEL;ZA;ELS
HETR;EG;ELT
DAUO;DZ;ELU
PAEL;US;ELV
1Z9;US;ELW
KELY;US;ELY
KELZ;US;ELZ
EGNX;GB;EMA
YEML;AU;EMD
EDWE;DE;EME
FAEM;ZA;EMG
PG-0006;PG;EMI
PAEM;US;EMK
LSME;CH;EML
KEMM;US;EMM
GQNI;MR;EMN
AYEO;PG;EMO
KEMP;US;EMP
AYEB;PG;EMS
KEMT;US;EMT
SAVD;AR;EMX
HE25;EG;EMY
PAEN;US;ENA
YEEB;AU;ENB
LFSN;FR;ENC
KEND;US;END
WATE;ID;ENE
EFET;FI;ENF
ZHES;CN;ENH
PH-ENI;PH;ENI
GT-0003;GT;ENJ
EGAB;GB;ENK
KENL;US;ENL
PANN;US;ENN
SGEN;PY;ENO
EHTW;NL;ENS
PKMA;MH;ENT
DNEN;NG;ENU
KENV;US;ENV
KENW;US;ENW
ZLYA;CN;ENY
SKMD;CO;EOH
EGED;GB;EOI
KEOK;US;EOK
SVED;VE;EOR
SVEZ;VE;EOZ
SADP;AR;EPA
NE69;US;EPG
KEPH;US;EPH
LFSG;FR;EPL
YESP;AU;EPR
MDPO;DO;EPS
AYEL;PG;EPT
EEPU;EE;EPU
SAVE;AR;EQS
HCMU;SO;ERA
YERN;AU;ERB
LTCD;TR;ERC
PG-0007;PG;ERE
EDDE;DE;ERF
UIKE;RU;ERG
GMFK;MA;ERH
KERI;US;ERI
ZBER;CN;ERL
SSER;BR;ERM
SWEI;BR;ERN
YESE;AU;ERQ
KERR;US;ERR
FYWE;NA;ERS
ERT;MN;ERT
AYER;PG;ERU
KERV;US;ERV
LTCE;TR;ERZ
PG-0008;PG;ESA
LTAC;TR;ESB
KESC;US;ESC
KORS;US;ESD
MMES;MX;ESE
KESF;US;ESF
SGME;PY;ESG
EGKA;GB;ESH
SBEP;BR;ESI
LTBI;TR;ESK
URWI;RU;ESL
SETN;EC;ESM
KESN;US;ESN
KE14;US;ESO
KN53;US;ESP
SCES;CL;ESR
EDLE;DE;ESS
KEST;US;EST
GMMI;MA;ESU
KESW;US;ESW
KETB;US;ETB
YEDA;AU;ETD
HAMM;ET;ETE
UHTQ;RU;ETL
LLER;IL;ETM
KETN;US;ETN
SERO;EC;ETR
KEDN;US;ETS
LFJL;FR;ETZ
NFTE;TO;EUA
YECL;AU;EUC
K05U;US;EUE
KEUF;US;EUF
KEUG;US;EUG
EDHN;DE;EUM
GMML;EH;EUN
SK-115;CO;EUO
RPVS;PH;EUQ
TNCE;BQ;EUX
YEVA;AU;EVD
ENEV;NO;EVE
ESND;SE;EVG
YEVD;AU;EVH
KEVM;US;EVM
UDYZ;AM;EVN
KEVV;US;EVV
KEVW;US;EVW
LFOE;FR;EVX
KEWB;US;EWB
ID-EWE;ID;EWE
WABT;ID;EWI
KEWK;US;EWK
KEWN;US;EWN
FCOE;CG;EWO
KEWR;US;EWR
EXI;US;EXI
YEXM;AU;EXM
EGTE;GB;EXT
USHY;RU;EYK
GAYE;ML;EYL
SKYP;CO;EYP
KO43;US;EYR
HKES;KE;EYS
KEYW;US;EYW
SAEZ;AR;EZE
LTCA;TR;EZS
USHB;RU;EZV
GUFH;GN;FAA
EGLF;GB;FAB
NTKF;PF;FAC
EKVG;FO;FAE
KFAF;US;FAF
BIFM;IS;FAG
OAFR;AF;FAH
PAFA;US;FAI
TJFA;PR;FAJ
2Z6;US;FAK
KFAM;US;FAM
ENLI;NO;FAN
LPFR;PT;FAO
AYFR;PG;FAQ
KFAR;US;FAR
BIFF;IS;FAS
KFAT;US;FAT
OOFD;OM;FAU
NTGF;PF;FAV
KFAY;US;FAY
OISF;IR;FAZ
SWOB;BR;FBA
OAFZ;AF;FBD
SSFB;BR;FBE
KFBG;US;FBG
PAFB;US;FBK
KFBL;US;FBL
FZQA;CD;FBM
KFBR;US;FBR
W33;US;FBS
KFBY;US;FBY
KGPI;US;FCA
FAFB;ZA;FCB
KFCH;US;FCH
KFCM;US;FCM
ETMN;DE;FCN
LIRF;IT;FCO
KFCS;US;FCS
KFCY;US;FCY
SKFU;CO;FDA
ENBL;NO;FDE
TFFF;MQ;FDF
EDNY;DE;FDH
KFDK;US;FDK
SADF;AR;FDO
KFDR;US;FDR
FZBO;CD;FDU
KFDY;US;FDY
FEA;GB;FEA
VNSR;NP;FEB
SNJD;BR;FEC
UTKF;UZ;FEG
SNOU;BR;FEJ
DIFK;CI;FEK
ETSF;DE;FEL
SBFN;BR;FEN
KFEP;US;FEP
KFET;US;FET
GMFF;MA;FEZ
KFFA;US;FFA
EGVA;GB;FFD
KFFL;US;FFL
KFFM;US;FFM
KFFO;US;FFO
KFFT;US;FFT
SCFT;CL;FFU
GQPF;MR;FGD
NSFI;WS;FGI
NTGB;PF;FGU
KFHU;US;FHU
NTKH;PF;FHZ
K0B8;US;FID
EGEF;GB;FIE
GUFA;GN;FIG
FZAA;CD;FIH
YFNE;AU;FIK
KFOM;US;FIL
FIN;PG;FIN
YFTZ;AU;FIZ
OMFJ;AE;FJR
EDSB;DE;FKB
FZIC;CD;FKI
RJNF;JP;FKJ
KFKL;US;FKL
KFKN;US;FKN
WASF;ID;FKQ
RJSF;JP;FKS
SKFL;CO;FLA
SNQG;BR;FLB
KFLD;US;FLD
EDXF;DE;FLF
KFLG;US;FLG
GB-FLH;GB;FLH
BIHT;IS;FLI
KFLL;US;FLL
SGFI;PY;FLM
SBFL;BR;FLN
KFLO;US;FLO
KFLP;US;FLP
LIRQ;IT;FLR
YFLI;AU;FLS
FLT;US;FLT
KFLV;US;FLV
LPFL;PT;FLW
KFLX;US;FLX
YFIL;AU;FLY
WIMS;ID;FLZ
SARF;AR;FMA
PAFV;US;FMC
KFME;US;FME
MRFL;CR;FMG
KFMH;US;FMH
FZRF;CD;FMI
EDJA;DE;FMM
KFMN;US;FMN
EDDG;DE;FMO
KFSW;US;FMS
K6S2;US;FMU
KFMY;US;FMY
GFLL;SL;FNA
EDBN;DE;FNB
LPMA;PT;FNC
FNE;PG;FNE
DFEF;BF;FNG
HAFN;ET;FNH
LFTW;FR;FNI
ZKPY;KP;FNJ
KFNL;US;FNL
PANR;US;FNR
KFNT;US;FNT
LIER;IT;FNU
GB-FOA;GB;FOA
82CL;US;FOB
ZSFZ;CN;FOC
KFOD;US;FOD
KFOE;US;FOE
LIBF;IT;FOG
KFOK;US;FOK
FKKM;CM;FOM
MRAN;CR;FON
ID-FOO;ID;FOO
SBFZ;BR;FOR
YFRT;AU;FOS
YFST;AU;FOT
FOGF;GA;FOU
FOY;LR;FOY
MYGF;BS;FPO
KFPR;US;FPR
K40J;US;FPY
EDDF;DE;FRA
YFBS;AU;FRB
SIMK;BR;FRC
KFHR;US;FRD
AGGF;SB;FRE
KFRG;US;FRG
KFRH;US;FRH
KFRI;US;FRI
FSSF;SC;FRK
LIPK;IT;FRL
KFRM;US;FRM
ENFL;NO;FRO
AYFE;PG;FRQ
KFRR;US;FRR
MGTK;GT;FRS
SCEV;CL;FRT
UAFM;KG;FRU
FBFT;BW;FRW
KIZG;US;FRY
