ident;iso_country;iata_code
AMY;MG;AMY
NZAR;NZ;AMZ
KE-6112;KE;ANA
KANB;US;ANB
PANC;US;ANC
KAND;US;AND
LFJR;FR;ANE
SCFA;CL;ANF
LFBU;FR;ANG
PANI;US;ANI
FCBZ;CG;ANJ
LTAD;TR;ANK
AO-0005;AO;ANL
FMNH;MG;ANM
PANT;US;ANN
FQAG;MZ;ANO
KANP;US;ANP
KANQ;US;ANQ
EBAW;BE;ANR
SPHY;PE;ANS
TAPA;AG;ANU
PANV;US;ANV
KANW;US;ANW
ENAN;NO;ANX
KANY;US;ANY
ANZ;AU;ANZ
AOB;PG;AOB
EDAC;DE;AOC
AOD;TD;AOD
LTBY;TR;AOE
ZYAS;CN;AOG
KAOH;US;AOH
LIPY;IT;AOI
RJSA;JP;AOJ
LGKP;GR;AOK
SARL;AR;AOL
OM-0002;OM;AOM
KAOO;US;AOO
SPAS;PE;AOP
WMKA;MY;AOR
AK81;US;AOS
LIMW;IT;AOT
VLAP;LA;AOU
KAPA;US;APA
SLAP;BO;APB
KAPC;US;APC
SPAO;PE;APE
KAPF;US;APF
KAPG;US;APG
KAPH;US;APH
SKAP;CO;API
NTGD;PF;APK
FQNP;MZ;APL
KAPN;US;APN
SKLC;CO;APO
APP;PG;APP
SNAL;BR;APQ
APR;PG;APR
SWNS;BR;APS
KAPT;US;APT
SSAP;BR;APU
KAPV;US;APV
NSFA;WS;APW
SSOG;BR;APX
SNAI;BR;APY
SAHZ;AR;APZ
SBAQ;BR;AQA
MGQC;GT;AQB
ZSAQ;CN;AQG
OEPA;SA;AQI
OJAQ;JO;AQJ
SWNI;BR;AQM
SPQU;PE;AQP
AQY;US;AQY
KARA;US;ARA
KARB;US;ARB
PARC;US;ARC
WATM;ID;ARD
TJAB;PR;ARE
SK-471;CO;ARF
KARG;US;ARG
ULAA;RU;ARH
SCAR;CL;ARI
WAJA;ID;ARJ
HTAR;TZ;ARK
DFER;BF;ARL
YARM;AU;ARM
ESSA;SE;ARN
SK-005;CO;ARO
ARP;PG;ARP
CO-ARQ;CO;ARQ
SAVR;AR;ARR
SJVO;BR;ARS
KART;US;ART
SBAU;BR;ARU
KARV;US;ARV
LRAR;RO;ARW
YARA;AU;ARY
FNZE;AO;ARZ
HHSB;ER;ASA
UTAA;TM;ASB
SLAS;BO;ASC
MYAF;BS;ASD
KASE;US;ASE
URWA;RU;ASF
NZAS;NZ;ASG
KASH;US;ASH
FHAW;SH;ASI
RJKA;JP;ASJ
DIYO;CI;ASK
KASL;US;ASL
HHAS;ER;ASM
KASN;US;ASN
HASO;ET;ASO
YBAS;AU;ASP
K9U3;US;ASQ
LTAU;TR;ASR
FACC;ZA;ASS
KAST;US;AST
SGAS;PY;ASU
HKAM;KE;ASV
HESN;EG;ASW
KASX;US;ASX
KASY;US;ASY
ASZ;PG;ASZ
SPHZ;PE;ATA
HSAT;SD;ATB
MYCA;BS;ATC
AGAT;SB;ATD
K80F;US;ATE
SEAM;EC;ATF
OPMS;PK;ATG
LGAV;GR;ATH
SUAG;UY;ATI
FMME;MG;ATJ
PATQ;US;ATK
KATL;US;ATL
SBHT;BR;ATM
ATN;PG;ATN
KUNI;US;ATO
ATP;PG;ATP
VIAR;IN;ATQ
GQPA;MR;ATR
KATS;US;ATS
4A2;US;ATT
FTTI;TD;ATV
KATW;US;ATW
KZ-ATX;KZ;ATX
KATY;US;ATY
HEAT;EG;ATZ
TNCA;AW;AUA
SKUC;CO;AUC
YAGD;AU;AUD
EG-AUE;EG;AUE
LFLA;FR;AUF
KAUG;US;AUG
OMAA;AE;AUH
AUI;PG;AUI
AUJ;PG;AUJ
PAUK;US;AUK
MH-AUL;MH;AUL
KAUM;US;AUM
KAUN;US;AUN
KAUO;US;AUO
AUP;PG;AUP
NTMN;PF;AUQ
LFLW;FR;AUR
KAUS;US;AUS
WPAT;TL;AUT
YAUR;AU;AUU
AUV;PG;AUV
KAUW;US;AUW
SWGN;BR;AUX
NVVA;VU;AUY
KARR;US;AUZ
ZUAS;CN;AVA
LIPA;IT;AVB
YAUV;AU;AVG
MUCA;CU;AVI
ZMAH;MN;AVK
KAVL;US;AVL
LFMV;FR;AVN
KAVO;US;AVO
