AIRLINE_NAME;IATA_DESIGNATOR;DIGIT_CODE
SATA Air Acores;SP;737
Saudi Arabian Airlines;SV;65
SCAT Airlines;DV;655
Scoot;TR;668
SF Airlines;O3;921
Shandong Airlines;SC;324
Shanghai Airlines;FM;774
Shenzhen Airlines;ZH;479
Sichuan Airlines;3U;876
Silk Way West Airlines;7L;501
Singapore Airlines;SQ;618
SKY Airline;H2;605
Smartavia;5N;316
Smartwings;QS;797
Solomon Airlines;IE;193
Somon Air;SZ;413
South African Airways;SA;83
SpiceJet;SG;775
SriLankan Airlines;UL;603
SunExpress;XQ*;564
Suparna Airlines;Y8;871
SWISS;LX;724
Syrianair;RB;70
T'way Air;TW;722
TAAG Angola Airlines;DT;118
TACA;TA;202
TAG Airlines;5U;411
TAP Portugal;TP;47
TAROM;RO;281
Tassili Airlines;SF;515
Thai Airways International;TG;217
Thai Lion Air;SL;310
Thai Smile;WE;909
Tianjin Airlines;GS;826
TUIfly;X3*;617
Tunisair;TU;199
Turkish Airlines;TK;235
Ukraine International Airlines;PS;566
UNI AIR;B7;525
United Airlines;UA;16
UPS Airlines;5X;406
Ural Airlines;U6;262
Urumqi Air;UQ;886
UTair;UT;298
Uzbekistan Airways;HY;250
Vietjet;VJ;978
Vietnam Airlines;VN;738
Virgin Atlantic;VS;932
Virgin Australia;VA;795
Vistara;UK;228
Voepass Linhas Aereas;2Z;678
Volaris;Y4*;36
Volotea;V7;712
Vueling;VY;30
Wamos Air;EB;460
West Air;PN;847
WestJet;WS;838
White coloured by you;WI;97
Wideroe;WF;701
World2Fly;2W;825
Xiamen Airlines;MF;731
YTO Cargo Airlines;YG;860
